,mapping,trans_mapping,hs,hk,smap,smap_inf
0,[2],['ADI.csv'],0.724865,0.724865,0.817807,4.992414
1,[7],['NFLX.csv'],0.696747,0.696747,0.825167,4.964296
2,[3],['GOOG.csv'],0.696002,0.696002,0.822815,4.963550
3,[8],['NVDA.csv'],0.728601,0.728601,0.816858,4.996149
4,[0],['AAPL.csv'],0.706525,0.706525,0.822419,4.974074
5,[4],['GOOGL.csv'],0.699189,0.699189,0.822090,4.966737
6,[6],['MSFT.csv'],0.744130,0.744130,0.815507,5.011678
7,[5],['IDXX.csv'],0.707452,0.707452,0.819839,4.975001
8,[1],['ADBE.csv'],0.704032,0.704032,0.821783,4.971580
9,[9],['TSLA.csv'],0.702471,0.010258,0.823825,4.970019
10,[6 8],"['MSFT.csv', 'NVDA.csv']",1.420998,1.420998,0.754176,4.589934
11,[0 2],"['AAPL.csv', 'ADI.csv']",1.391403,1.391403,0.790165,4.560339
12,[0 6],"['AAPL.csv', 'MSFT.csv']",1.396467,1.396467,0.760721,4.565403
13,[0 7],"['AAPL.csv', 'NFLX.csv']",1.372271,1.372271,0.797083,4.541207
14,[0 3],"['AAPL.csv', 'GOOG.csv']",1.350804,1.350804,0.770092,4.519740
15,[3 7],"['GOOG.csv', 'NFLX.csv']",1.355837,1.355214,0.793326,4.524773
16,[2 3],"['ADI.csv', 'GOOG.csv']",1.392255,1.392255,0.781782,4.561191
17,[0 4],"['AAPL.csv', 'GOOGL.csv']",1.350405,1.349782,0.776020,4.519341
18,[4 6],"['GOOGL.csv', 'MSFT.csv']",1.375388,1.374765,0.755647,4.544324
19,[1 7],"['ADBE.csv', 'NFLX.csv']",1.358008,1.358008,0.782890,4.526945
20,[3 8],"['GOOG.csv', 'NVDA.csv']",1.384361,1.384361,0.773502,4.553297
21,[5 6],"['IDXX.csv', 'MSFT.csv']",1.419953,1.419953,0.786760,4.588890
22,[8 9],"['NVDA.csv', 'TSLA.csv']",1.403779,1.403779,0.798477,4.572715
23,[1 6],"['ADBE.csv', 'MSFT.csv']",1.360140,1.360140,0.759831,4.529076
24,[4 9],"['GOOGL.csv', 'TSLA.csv']",1.379337,1.378090,0.802244,4.548273
25,[2 8],"['ADI.csv', 'NVDA.csv']",1.378882,1.374521,0.769978,4.547818
26,[5 9],"['IDXX.csv', 'TSLA.csv']",1.397167,1.397167,0.807020,4.566103
27,[6 7],"['MSFT.csv', 'NFLX.csv']",1.412520,1.412520,0.784117,4.581456
28,[3 4],"['GOOG.csv', 'GOOGL.csv']",0.917155,0.916532,0.764138,4.086092
29,[1 3],"['ADBE.csv', 'GOOG.csv']",1.341425,1.341425,0.766437,4.510361
30,[1 5],"['ADBE.csv', 'IDXX.csv']",1.363107,1.357182,0.780364,4.532044
31,[7 8],"['NFLX.csv', 'NVDA.csv']",1.394012,1.394012,0.797418,4.562948
32,[1 8],"['ADBE.csv', 'NVDA.csv']",1.385679,1.385679,0.773425,4.554615
33,[7 9],"['NFLX.csv', 'TSLA.csv']",1.377360,1.376737,0.808903,4.546296
34,[4 5],"['GOOGL.csv', 'IDXX.csv']",1.372089,1.372089,0.784001,4.541025
35,[4 7],"['GOOGL.csv', 'NFLX.csv']",1.359215,1.357734,0.786527,4.528152
36,[6 9],"['MSFT.csv', 'TSLA.csv']",1.433885,1.433885,0.799051,4.602821
37,[3 9],"['GOOG.csv', 'TSLA.csv']",1.376745,1.376122,0.803483,4.545681
38,[4 8],"['GOOGL.csv', 'NVDA.csv']",1.385788,1.385788,0.772627,4.554725
39,[0 1],"['AAPL.csv', 'ADBE.csv']",1.364904,1.364904,0.774693,4.533840
40,[1 9],"['ADBE.csv', 'TSLA.csv']",1.384466,1.383220,0.798548,4.553402
41,[3 6],"['GOOG.csv', 'MSFT.csv']",1.375885,1.375885,0.754131,4.544821
42,[2 9],"['ADI.csv', 'TSLA.csv']",1.410938,1.410938,0.801324,4.579875
43,[2 4],"['ADI.csv', 'GOOGL.csv']",1.392353,1.392353,0.785088,4.561290
44,[0 8],"['AAPL.csv', 'NVDA.csv']",1.390309,1.390309,0.782619,4.559246
45,[5 8],"['IDXX.csv', 'NVDA.csv']",1.404508,1.402638,0.783596,4.573444
