N	mapping	trans_mapping	hs	hk	smap	smap_inf
1	[0]	['AAPL.csv']	0.706525	0.706525	0.634899	6.381460
1	[1]	['ADBE.csv']	0.704032	0.704032	0.634890	6.378967
1	[2]	['ADI.csv']	0.724865	0.724865	0.634201	6.399800
1	[3]	['CSCO.csv']	0.751264	0.751264	0.629992	6.426199
1	[4]	['GOOG.csv']	0.696002	0.696002	0.635070	6.370937
1	[5]	['GOOGL.csv']	0.699189	0.699189	0.634935	6.374124
1	[6]	['IDXX.csv']	0.707452	0.707452	0.634254	6.382387
1	[7]	['MSFT.csv']	0.744130	0.744130	0.632946	6.419065
1	[8]	['NFLX.csv']	0.696747	0.696747	0.635852	6.371682
1	[9]	['NTES.csv']	0.704964	0.704964	0.635472	6.379899
1	[10]	['NVDA.csv']	0.728601	0.728601	0.633388	6.403536
1	[11]	['TSLA.csv']	0.702471	0.010258	0.635435	6.377406
2	[0 1]	['AAPL.csv', 'ADBE.csv']	1.364904	1.364904	0.606443	5.941226
2	[0 2]	['AAPL.csv', 'ADI.csv']	1.391403	1.391403	0.608959	5.967726
2	[0 3]	['AAPL.csv', 'CSCO.csv']	1.411162	1.411162	0.609274	5.987485
2	[0 4]	['AAPL.csv', 'GOOG.csv']	1.350804	1.350804	0.603312	5.927127
2	[0 5]	['AAPL.csv', 'GOOGL.csv']	1.350405	1.349782	0.603506	5.926727
2	[0 6]	['AAPL.csv', 'IDXX.csv']	1.385219	1.383350	0.613348	5.961542
2	[0 7]	['AAPL.csv', 'MSFT.csv']	1.396467	1.396467	0.601321	5.972789
2	[0 8]	['AAPL.csv', 'NFLX.csv']	1.372271	1.372271	0.617309	5.948594
2	[0 9]	['AAPL.csv', 'NTES.csv']	1.397265	1.394302	0.625583	5.973587
2	[ 0 10]	['AAPL.csv', 'NVDA.csv']	1.390309	1.390309	0.607406	5.966632
2	[ 0 11]	['AAPL.csv', 'TSLA.csv']	1.392256	1.391010	0.624225	5.968579
2	[1 2]	['ADBE.csv', 'ADI.csv']	1.385268	1.384022	0.610662	5.961591
2	[1 3]	['ADBE.csv', 'CSCO.csv']	1.411311	1.411311	0.602407	5.987634
2	[1 4]	['ADBE.csv', 'GOOG.csv']	1.341425	1.341425	0.600781	5.917748
2	[1 5]	['ADBE.csv', 'GOOGL.csv']	1.343008	1.342385	0.599475	5.919331
2	[1 6]	['ADBE.csv', 'IDXX.csv']	1.363107	1.357182	0.613221	5.939430
2	[1 7]	['ADBE.csv', 'MSFT.csv']	1.360140	1.360140	0.601383	5.936463
2	[1 8]	['ADBE.csv', 'NFLX.csv']	1.358008	1.358008	0.610157	5.934331
2	[1 9]	['ADBE.csv', 'NTES.csv']	1.388928	1.387058	0.622838	5.965250
2	[ 1 10]	['ADBE.csv', 'NVDA.csv']	1.385679	1.385679	0.604205	5.962002
2	[ 1 11]	['ADBE.csv', 'TSLA.csv']	1.384466	1.383220	0.616791	5.960789
2	[2 3]	['ADI.csv', 'CSCO.csv']	1.427843	1.427843	0.606119	6.004166
2	[2 4]	['ADI.csv', 'GOOG.csv']	1.392255	1.392255	0.605626	5.968578
2	[2 5]	['ADI.csv', 'GOOGL.csv']	1.392353	1.392353	0.605873	5.968676
2	[2 6]	['ADI.csv', 'IDXX.csv']	1.404091	1.400976	0.613703	5.980414
2	[2 7]	['ADI.csv', 'MSFT.csv']	1.415055	1.415055	0.604065	5.991377
2	[2 8]	['ADI.csv', 'NFLX.csv']	1.396234	1.396234	0.617642	5.972557
2	[2 9]	['ADI.csv', 'NTES.csv']	1.411983	1.410114	0.626459	5.988306
2	[ 2 10]	['ADI.csv', 'NVDA.csv']	1.378882	1.374521	0.609524	5.955205
2	[ 2 11]	['ADI.csv', 'TSLA.csv']	1.410938	1.410938	0.622311	5.987261
2	[3 4]	['CSCO.csv', 'GOOG.csv']	1.407342	1.407342	0.603022	5.983665
2	[3 5]	['CSCO.csv', 'GOOGL.csv']	1.407180	1.406557	0.605812	5.983503
2	[3 6]	['CSCO.csv', 'IDXX.csv']	1.434596	1.432104	0.611199	6.010918
2	[3 7]	['CSCO.csv', 'MSFT.csv']	1.438519	1.431042	0.604112	6.014841
2	[3 8]	['CSCO.csv', 'NFLX.csv']	1.432021	1.432021	0.611526	6.008344
2	[3 9]	['CSCO.csv', 'NTES.csv']	1.448154	1.446908	0.616612	6.024476
2	[ 3 10]	['CSCO.csv', 'NVDA.csv']	1.443289	1.443289	0.600314	6.019611
2	[ 3 11]	['CSCO.csv', 'TSLA.csv']	1.444802	1.444802	0.617947	6.021125
2	[4 5]	['GOOG.csv', 'GOOGL.csv']	0.917155	0.916532	0.622539	5.493478
2	[4 6]	['GOOG.csv', 'IDXX.csv']	1.367338	1.367338	0.614929	5.943661
2	[4 7]	['GOOG.csv', 'MSFT.csv']	1.375885	1.375885	0.600403	5.952207
2	[4 8]	['GOOG.csv', 'NFLX.csv']	1.355837	1.355214	0.609412	5.932160
2	[4 9]	['GOOG.csv', 'NTES.csv']	1.382930	1.381684	0.622936	5.959253
2	[ 4 10]	['GOOG.csv', 'NVDA.csv']	1.384361	1.384361	0.600562	5.960683
2	[ 4 11]	['GOOG.csv', 'TSLA.csv']	1.376745	1.376122	0.622064	5.953067
2	[5 6]	['GOOGL.csv', 'IDXX.csv']	1.372089	1.372089	0.613000	5.948412
2	[5 7]	['GOOGL.csv', 'MSFT.csv']	1.375388	1.374765	0.600365	5.951711
2	[5 8]	['GOOGL.csv', 'NFLX.csv']	1.359215	1.357734	0.607388	5.935538
2	[5 9]	['GOOGL.csv', 'NTES.csv']	1.386501	1.384632	0.621363	5.962824
2	[ 5 10]	['GOOGL.csv', 'NVDA.csv']	1.385788	1.385788	0.599277	5.962111
2	[ 5 11]	['GOOGL.csv', 'TSLA.csv']	1.379337	1.378090	0.620757	5.955659
2	[6 7]	['IDXX.csv', 'MSFT.csv']	1.419953	1.419953	0.610204	5.996276
2	[6 8]	['IDXX.csv', 'NFLX.csv']	1.388568	1.386075	0.620079	5.964890
2	[6 9]	['IDXX.csv', 'NTES.csv']	1.404886	1.403017	0.625467	5.981209
2	[ 6 10]	['IDXX.csv', 'NVDA.csv']	1.404508	1.402638	0.613100	5.980830
2	[ 6 11]	['IDXX.csv', 'TSLA.csv']	1.397167	1.397167	0.626700	5.973489
2	[7 8]	['MSFT.csv', 'NFLX.csv']	1.412520	1.412520	0.608879	5.988842
2	[7 9]	['MSFT.csv', 'NTES.csv']	1.433232	1.433232	0.621957	6.009555
2	[ 7 10]	['MSFT.csv', 'NVDA.csv']	1.420998	1.420998	0.596047	5.997321
2	[ 7 11]	['MSFT.csv', 'TSLA.csv']	1.433885	1.433885	0.616918	6.010208
2	[8 9]	['NFLX.csv', 'NTES.csv']	1.386931	1.386308	0.623511	5.963254
2	[ 8 10]	['NFLX.csv', 'NVDA.csv']	1.394012	1.394012	0.618188	5.970334
2	[ 8 11]	['NFLX.csv', 'TSLA.csv']	1.377360	1.376737	0.625101	5.953682
2	[ 9 10]	['NTES.csv', 'NVDA.csv']	1.410698	1.410698	0.623586	5.987021
2	[ 9 11]	['NTES.csv', 'TSLA.csv']	1.390813	1.390190	0.628657	5.967136
